disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
リフトバレー熱,全数把握,D_rare,0,0,13,0.0
リフトバレー熱,全数把握,D_stat,0,0,13,0.0
リフトバレー熱,全数把握,D_growth,0,0,13,0.0
リフトバレー熱,全数把握,D_spatial,0,0,13,0.0
リフトバレー熱,全数把握,combined,0,0,13,0.0
レジオネラ症,全数把握,D_rare,0,0,13,0.0
レジオネラ症,全数把握,D_stat,14,14,13,1.077
レジオネラ症,全数把握,D_growth,0,0,13,0.0
レジオネラ症,全数把握,D_spatial,0,0,13,0.0
レジオネラ症,全数把握,combined,14,14,13,1.077
レプトスピラ症,全数把握,D_rare,13,13,13,1.0
レプトスピラ症,全数把握,D_stat,0,0,13,0.0
レプトスピラ症,全数把握,D_growth,0,0,13,0.0
レプトスピラ症,全数把握,D_spatial,0,0,13,0.0
レプトスピラ症,全数把握,combined,13,13,13,1.0
ロッキー山紅斑熱,全数把握,D_rare,0,0,13,0.0
ロッキー山紅斑熱,全数把握,D_stat,0,0,13,0.0
ロッキー山紅斑熱,全数把握,D_growth,0,0,13,0.0
ロッキー山紅斑熱,全数把握,D_spatial,0,0,13,0.0
ロッキー山紅斑熱,全数把握,combined,0,0,13,0.0
伝染性紅斑,sentinel/その他,D_rare,0,0,13,0.0
伝染性紅斑,sentinel/その他,D_stat,8,8,13,0.615
伝染性紅斑,sentinel/その他,D_growth,0,0,13,0.0
伝染性紅斑,sentinel/その他,D_spatial,0,0,13,0.0
伝染性紅斑,sentinel/その他,combined,8,8,13,0.615
侵襲性インフルエンザ菌感染症,全数把握,D_rare,24,24,13,1.846
侵襲性インフルエンザ菌感染症,全数把握,D_stat,5,5,13,0.385
侵襲性インフルエンザ菌感染症,全数把握,D_growth,0,0,13,0.0
侵襲性インフルエンザ菌感染症,全数把握,D_spatial,0,0,13,0.0
侵襲性インフルエンザ菌感染症,全数把握,combined,24,24,13,1.846
侵襲性肺炎球菌感染症,全数把握,D_rare,0,0,13,0.0
侵襲性肺炎球菌感染症,全数把握,D_stat,15,15,13,1.154
